Date,Open,High,Low,Close,Adj Close,Volume
2013-04-15,66.169998,66.980003,64.239998,65.690002,54.515362,3298300
2013-04-22,65.830002,68.870003,59.439999,64.050003,53.154343,5011000
2013-04-29,64.239998,67.199997,62.520000,66.400002,55.104584,2769400
2013-05-06,66.449997,68.879997,65.300003,68.680000,56.996738,1951400
2013-05-13,68.330002,68.870003,66.919998,68.419998,56.780975,2042800
2013-05-20,68.309998,70.150002,66.000000,66.800003,55.436550,1941200
2013-05-27,67.820000,68.750000,65.750000,65.769997,54.581753,1778000
2013-06-03,66.070000,66.239998,63.490002,65.169998,54.325348,2094200
2013-06-10,65.139999,66.040001,63.560001,64.989998,54.175293,1601500
2013-06-17,65.580002,66.870003,64.169998,64.589996,53.841858,2438400
2013-06-24,63.610001,66.269997,61.930000,65.559998,54.650429,2804100
2013-07-01,65.940002,67.139999,65.330002,66.129997,55.125603,1215700
2013-07-08,66.940002,67.809998,65.809998,66.889999,55.759121,2781000
2013-07-15,67.000000,69.519997,66.620003,68.949997,57.476326,2551600
2013-07-22,69.129997,70.320000,68.110001,69.800003,58.184891,2973500
2013-07-29,69.650002,71.750000,68.730003,71.029999,59.210224,2471200
2013-08-05,70.800003,70.970001,68.040001,70.150002,58.476654,2366500
2013-08-12,69.900002,71.750000,68.820000,69.900002,58.268246,1749300
2013-08-19,69.989998,70.190002,68.239998,69.580002,58.272297,1210800
2013-08-26,69.589996,70.500000,66.559998,66.690002,55.851967,1811700
2013-09-02,67.940002,69.400002,65.500000,69.110001,57.878685,2008700
2013-09-09,69.199997,72.430000,69.089996,71.290001,59.704399,1384300
2013-09-16,72.430000,75.830002,71.120003,74.980003,62.794724,3926800
2013-09-23,74.830002,75.580002,72.279999,73.209999,61.312378,2065400
2013-09-30,71.989998,74.370003,71.559998,72.660004,60.851765,2257100
2013-10-07,71.910004,73.500000,70.790001,73.010002,61.144878,1662200
2013-10-14,72.349998,75.870003,72.260002,75.820000,63.498219,2255900
2013-10-21,76.220001,76.779999,72.269997,73.150002,61.262131,3053400
2013-10-28,73.040001,74.769997,72.790001,74.400002,62.308975,2093300
2013-11-04,74.139999,75.360001,73.250000,75.279999,63.045986,1860900
2013-11-11,75.349998,75.440002,73.349998,75.059998,62.861748,1405000
2013-11-18,75.400002,75.650002,73.650002,74.459999,62.359253,2009600
2013-11-25,74.459999,74.820000,73.099998,73.529999,61.852379,1184600
2013-12-02,73.519997,74.989998,72.489998,74.709999,62.844982,1407900
2013-12-09,74.709999,74.980003,71.320000,72.339996,60.851360,1564000
2013-12-16,72.480003,74.790001,71.510002,73.169998,61.549541,2437000
2013-12-23,73.739998,75.750000,73.269997,75.660004,63.644115,747200
2013-12-30,75.660004,76.029999,74.580002,75.489998,63.501118,977900
2014-01-06,75.639999,76.269997,74.080002,76.120003,64.031067,1509400
2014-01-13,76.110001,76.769997,75.209999,76.080002,63.997406,1539100
2014-01-20,76.120003,76.120003,70.339996,70.400002,59.219463,1951400
2014-01-27,70.650002,70.739998,68.419998,69.949997,58.840927,2487900
2014-02-03,69.529999,70.110001,66.279999,69.629997,58.571739,3164500
2014-02-10,69.220001,73.870003,68.419998,73.800003,62.079498,2249100
2014-02-17,74.129997,74.559998,69.099998,70.139999,59.000767,3445000
2014-02-24,70.029999,70.599998,67.220001,69.279999,58.277340,4000400
2014-03-03,68.459999,70.970001,67.839996,70.820000,59.572765,2661800
2014-03-10,70.589996,70.800003,68.059998,69.309998,58.601856,2129600
2014-03-17,69.540001,71.650002,68.820000,70.809998,59.870132,2909400
2014-03-24,71.199997,72.470001,69.230003,69.750000,58.973892,1734900
2014-03-31,70.010002,73.099998,69.800003,71.699997,60.622616,2440600
2014-04-07,71.669998,71.849998,68.370003,69.029999,58.365112,2128000
2014-04-14,69.410004,71.040001,67.879997,70.269997,59.413540,3191000
2014-04-21,70.339996,72.389999,69.529999,70.000000,59.185268,3550300
2014-04-28,70.160004,72.489998,69.470001,72.150002,61.003105,3038600
2014-05-05,71.680000,72.559998,70.639999,71.470001,60.428139,2692800
2014-05-12,71.970001,74.040001,71.000000,71.989998,60.867805,2221900
2014-05-19,71.870003,72.510002,70.309998,72.330002,61.155285,1966200
2014-05-26,72.510002,73.199997,71.849998,71.949997,60.834007,1946500
2014-06-02,72.019997,73.110001,70.989998,72.769997,61.823639,1451600
2014-06-09,72.959999,73.400002,71.760002,72.430000,61.534794,1369300
2014-06-16,72.449997,73.989998,71.440002,73.459999,62.409851,1818400
